slide_id,label,pred,correct,scale,class_id,concept_id,concept_text,rank,evidence_score,prompt_weight,edge_strength,prompt_id,region_id,region_score
2475022-B,0,0,1,high,0,adeno_atypical_glands_high,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,1,0.2151388972997665,0.1072195097804069,0.0621039080006062,9,5.0,0.21513889729976654
2475022-B,0,0,1,high,0,adeno_papillary_high,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,2,0.2116884589195251,0.1043160855770111,0.0860126939395235,2,5.0,0.21168845891952515
2475022-B,0,0,1,high,0,adeno_fused_glands_high,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,3,0.2070445716381073,0.0995855554938316,0.0387275098146957,10,5.0,0.2070445716381073
2475022-B,0,0,1,high,0,adeno_micropapillary_high,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,4,0.2061904966831207,0.0990096032619476,0.0475822010413681,3,5.0,0.20619049668312073
2475022-B,0,0,1,low,0,adeno_alveolar_replacement_low,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.,1,0.2180643081665039,0.1041246950626373,0.0340608376374477,11,0.0,0.2180643081665039
2475022-B,0,0,1,low,0,adeno_lepidic,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,2,0.211322620511055,0.0972272902727127,0.0139215840677042,0,0.0,0.211322620511055
2475022-B,0,0,1,low,0,adeno_mucinous,A low magnification histopathology image showing mucinous lung adenocarcinoma with extracellular mucin pools.,3,0.2084373533725738,0.0941878333687782,0.0358302259059012,5,0.0,0.20843735337257385
2475022-B,0,0,1,low,0,adeno_cribriform_low,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,4,0.2052586376667022,0.0932005271315574,0.0180829974736053,10,0.0,0.20525863766670227
25001929B3,0,1,0,high,1,nonadeno_intercellular_bridges_high,A high magnification histopathology image showing squamous cell carcinoma with intercellular bridges.,1,0.2374400198459625,0.3083332180976867,0.107473784487641,1,5.0,0.23744001984596252
25001929B3,0,1,0,high,1,nonadeno_keratinization_high,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,2,0.2132089138031005,0.2420135140419006,0.0537231230181394,0,5.0,0.21320891380310059
25001929B3,0,1,0,high,1,nonadeno_dense_eosinophilic_cytoplasm_high,A high magnification histopathology image showing squamous carcinoma cells with dense eosinophilic cytoplasm and distinct cell borders.,3,0.1892918944358825,0.1897965967655182,0.0460269019523553,6,5.0,0.18929189443588257
25001929B3,0,1,0,low,1,nonadeno_hamartoma_low,A low magnification histopathology image showing pulmonary hamartoma with cartilage and benign mesenchymal components.,1,0.137560486793518,0.2299364507198333,0.0987526106735746,2,15.0,0.13756048679351807
25001929B3,0,1,0,low,1,nonadeno_fibroinflammatory_low,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,2,0.0614703260362148,0.1076818853616714,0.0127613447465163,8,15.0,0.06147032603621483
25001929B3,0,1,0,low,1,nonadeno_solid_nests_low,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,5,0.0215982124209404,0.0712289065122604,0.0142525082556062,10,15.0,0.0215982124209404
25023972B3,1,0,0,high,0,adeno_papillary_high,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,1,0.2101542800664901,0.1282794922590255,0.0860126939395235,2,5.0,0.21015428006649017
25023972B3,1,0,0,high,0,adeno_atypical_glands_high,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,2,0.1987153589725494,0.1136098727583885,0.0621039080006062,9,5.0,0.19871535897254944
25023972B3,1,0,0,high,0,adeno_micropapillary_high,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,3,0.1866411119699478,0.1016820296645164,0.0475822010413681,3,5.0,0.18664111196994781
25023972B3,1,0,0,high,0,adeno_fused_glands_high,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,4,0.1823337823152542,0.097128689289093,0.0387275098146957,10,5.0,0.1823337823152542
25023972B3,1,0,0,low,0,adeno_mucinous,A low magnification histopathology image showing mucinous lung adenocarcinoma with extracellular mucin pools.,1,0.0815724730491638,0.1053528189659118,0.0358302259059012,5,0.0,0.08157247304916382
25023972B3,1,0,0,low,0,adeno_alveolar_replacement_low,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.,2,0.0742349326610565,0.0982944816350936,0.0340608376374477,11,0.0,0.07423493266105652
25023972B3,1,0,0,low,0,adeno_lepidic,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,3,0.0729213282465934,0.0969030633568763,0.0139215840677042,0,0.0,0.07292132824659348
25023972B3,1,0,0,low,0,adeno_cribriform_low,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,4,0.0590670779347419,0.0859280675649643,0.0180829974736053,10,0.0,0.059067077934741974
25024310B3,0,0,1,high,0,adeno_micropapillary_high,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,1,0.1948042213916778,0.1070801243185997,0.0475822010413681,3,5.0,0.19480422139167786
25024310B3,0,0,1,high,0,adeno_atypical_glands_high,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,2,0.1928620934486389,0.1039940416812896,0.0621039080006062,9,5.0,0.19286209344863892
25024310B3,0,0,1,high,0,adeno_papillary_high,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,3,0.1925635933876037,0.1044178232550621,0.0860126939395235,2,5.0,0.19256359338760376
25024310B3,0,0,1,high,0,adeno_fused_glands_high,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,4,0.1838919818401336,0.0957474932074546,0.0387275098146957,10,5.0,0.18389198184013367
