slide_id,fold,split,scale,class_id,concept_id,prompt_id,concept_text,evidence_score,prompt_weight,rank
2460239-B2,0,test,low,0,adeno_mucinous,5,A low magnification histopathology image showing mucinous lung adenocarcinoma with extracellular mucin pools.,0.10182245075702667,0.10389914363622665,1
2460239-B2,0,test,low,0,adeno_alveolar_replacement_low,11,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.,0.09321920573711395,0.09571898728609085,2
2460239-B2,0,test,low,0,adeno_lepidic,0,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,0.08469241857528687,0.08779706805944443,3
2460239-B2,0,test,low,0,adeno_cribriform_low,10,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,0.08296297490596771,0.08788907527923584,4
2460239-B2,0,test,low,0,adeno_glandular_infiltration_low,6,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,0.08111084252595901,0.08464404195547104,5
2460239-B2,0,test,low,1,nonadeno_hamartoma_low,2,A low magnification histopathology image showing pulmonary hamartoma with cartilage and benign mesenchymal components.,0.12720990180969238,0.19105467200279236,1
2460239-B2,0,test,low,1,nonadeno_fibroinflammatory_low,8,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,0.05813666805624962,0.09597688168287277,2
2460239-B2,0,test,low,1,nonadeno_solid_nests_low,10,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,0.05033215880393982,0.08748792111873627,3
2460239-B2,0,test,low,1,nonadeno_metastatic_low,5,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,0.050119467079639435,0.08828964829444885,4
2460239-B2,0,test,low,1,nonadeno_inflammatory_low,3,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,0.03980065509676933,0.07959333062171936,5
2460239-B2,0,test,high,0,adeno_atypical_glands_high,9,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,0.18464460968971252,0.10905821621417999,1
2460239-B2,0,test,high,0,adeno_fused_glands_high,10,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,0.1739676296710968,0.09871077537536621,2
2460239-B2,0,test,high,0,adeno_micropapillary_high,3,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,0.17236390709877014,0.09740693867206573,3
2460239-B2,0,test,high,0,adeno_papillary_high,2,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,0.171463742852211,0.09626694768667221,4
2460239-B2,0,test,high,0,adeno_mucinous_high,4,A high magnification histopathology image showing adenocarcinoma cells with mucin production and mucinous cytoplasm.,0.17107585072517395,0.09590210765600204,5
2460239-B2,0,test,high,1,nonadeno_hamartoma_high,3,A high magnification histopathology image showing benign cartilage and respiratory epithelium in pulmonary hamartoma.,0.08558042347431183,0.11663892865180969,1
2460239-B2,0,test,high,1,nonadeno_fibrosis_inflammation_high,9,A high magnification histopathology image showing fibrosis and chronic inflammatory infiltrates without adenocarcinoma cells.,0.08518204092979431,0.11726409196853638,2
2460239-B2,0,test,high,1,nonadeno_inflammatory_high,4,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",0.06894569098949432,0.10001063346862793,3
2460239-B2,0,test,high,1,nonadeno_chondromyxoid_matrix_high,8,A high magnification histopathology image showing chondromyxoid matrix and benign stromal elements in pulmonary hamartoma.,0.06803877651691437,0.09766417741775513,4
2460239-B2,0,test,high,1,nonadeno_nuclear_molding_high,7,A high magnification histopathology image showing neuroendocrine tumor cells with nuclear molding and scant cytoplasm.,0.06334678828716278,0.09386802464723587,5
2460628-B2,0,test,low,0,adeno_alveolar_replacement_low,11,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.,0.19241024553775787,0.10004979372024536,1
2460628-B2,0,test,low,0,adeno_mucinous,5,A low magnification histopathology image showing mucinous lung adenocarcinoma with extracellular mucin pools.,0.18954002857208252,0.09682811796665192,2
2460628-B2,0,test,low,0,adeno_lepidic,0,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,0.18466609716415405,0.09249047935009003,3
2460628-B2,0,test,low,0,adeno_cribriform_low,10,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,0.18238258361816406,0.09207584708929062,4
2460628-B2,0,test,low,0,adeno_glandular_infiltration_low,6,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,0.17695298790931702,0.08555992692708969,5
2460628-B2,0,test,low,1,nonadeno_hamartoma_low,2,A low magnification histopathology image showing pulmonary hamartoma with cartilage and benign mesenchymal components.,0.1380467712879181,0.14952650666236877,1
2460628-B2,0,test,low,1,nonadeno_metastatic_low,5,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,0.10725770890712738,0.1097879409790039,2
2460628-B2,0,test,low,1,nonadeno_solid_nests_low,10,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,0.10589471459388733,0.10709022730588913,3
2460628-B2,0,test,low,1,nonadeno_fibroinflammatory_low,8,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,0.07897445559501648,0.08301577717065811,4
2460628-B2,0,test,low,1,nonadeno_organoid_neuroendocrine_low,11,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,0.07861451804637909,0.08148123323917389,5
2460628-B2,0,test,high,0,adeno_atypical_glands_high,9,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,0.21582697331905365,0.10902803391218185,1
2460628-B2,0,test,high,0,adeno_papillary_high,2,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,0.20818835496902466,0.10172473639249802,2
2460628-B2,0,test,high,0,adeno_micropapillary_high,3,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,0.20757056772708893,0.10137875378131866,3
2460628-B2,0,test,high,0,adeno_fused_glands_high,10,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,0.20550179481506348,0.0990312397480011,4
2460628-B2,0,test,high,0,adeno_mucinous_high,4,A high magnification histopathology image showing adenocarcinoma cells with mucin production and mucinous cytoplasm.,0.19086429476737976,0.08555092662572861,5
2460628-B2,0,test,high,1,nonadeno_fibrosis_inflammation_high,9,A high magnification histopathology image showing fibrosis and chronic inflammatory infiltrates without adenocarcinoma cells.,0.12144743651151657,0.12307098507881165,1
2460628-B2,0,test,high,1,nonadeno_inflammatory_high,4,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",0.10422507673501968,0.10393328964710236,2
2460628-B2,0,test,high,1,nonadeno_hamartoma_high,3,A high magnification histopathology image showing benign cartilage and respiratory epithelium in pulmonary hamartoma.,0.10063815116882324,0.09902171045541763,3
2460628-B2,0,test,high,1,nonadeno_nuclear_molding_high,7,A high magnification histopathology image showing neuroendocrine tumor cells with nuclear molding and scant cytoplasm.,0.09016095846891403,0.08963180333375931,4
2460628-B2,0,test,high,1,nonadeno_spindle_atypia_high,10,A high magnification histopathology image showing atypical spindle tumor cells without gland formation or mucin production.,0.08654632419347763,0.08734811097383499,5
2460641-B2,0,test,low,0,adeno_mucinous,5,A low magnification histopathology image showing mucinous lung adenocarcinoma with extracellular mucin pools.,0.09705634415149689,0.1022680327296257,1
2460641-B2,0,test,low,0,adeno_alveolar_replacement_low,11,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.,0.09414072334766388,0.09973028302192688,2
2460641-B2,0,test,low,0,adeno_lepidic,0,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,0.08818398416042328,0.09385783225297928,3
2460641-B2,0,test,low,0,adeno_cribriform_low,10,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,0.08063209056854248,0.08864185959100723,4
2460641-B2,0,test,low,0,adeno_glandular_infiltration_low,6,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,0.07870759814977646,0.0853072851896286,5
2460641-B2,0,test,low,1,nonadeno_hamartoma_low,2,A low magnification histopathology image showing pulmonary hamartoma with cartilage and benign mesenchymal components.,0.0802961140871048,0.16482894122600555,1
2460641-B2,0,test,low,1,nonadeno_metastatic_low,5,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,0.030814502388238907,0.10038971155881882,2
2460641-B2,0,test,low,1,nonadeno_solid_nests_low,10,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,0.027965107932686806,0.0964781641960144,3
2460641-B2,0,test,low,1,nonadeno_fibroinflammatory_low,8,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,0.020471876487135887,0.09082603454589844,4
2460641-B2,0,test,low,1,nonadeno_benign_reactive_low,9,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,0.012147902511060238,0.0831034854054451,5
2460641-B2,0,test,high,0,adeno_papillary_high,2,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,0.2551211714744568,0.11940355598926544,1
2460641-B2,0,test,high,0,adeno_atypical_glands_high,9,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,0.25248822569847107,0.11548353731632233,2
2460641-B2,0,test,high,0,adeno_fused_glands_high,10,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,0.23826688528060913,0.10088653117418289,3
2460641-B2,0,test,high,0,adeno_micropapillary_high,3,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,0.22676320374011993,0.09017031639814377,4
2460641-B2,0,test,high,0,adeno_hobnail_high,8,A high magnification histopathology image showing hobnail-like adenocarcinoma cells lining alveolar spaces.,0.21722735464572906,0.08182590454816818,5
2460641-B2,0,test,high,1,nonadeno_hamartoma_high,3,A high magnification histopathology image showing benign cartilage and respiratory epithelium in pulmonary hamartoma.,0.18408608436584473,0.12401595711708069,1
2460641-B2,0,test,high,1,nonadeno_keratinization_high,0,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,0.1793496459722519,0.12037394940853119,2
