experiment,true_class_name,rank,prompt_text,prompt_concept,count,frequency
Concept-12 PEPS topk=1 tau=0.1,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,466,0.3761097659402744
Concept-12 PEPS topk=1 tau=0.1,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,262,0.21146085552865213
Concept-12 PEPS topk=1 tau=0.1,Adenocarcinoma,3,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,232,0.18724778046811946
Concept-12 PEPS topk=1 tau=0.1,Adenocarcinoma,4,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,floating micropapillary clusters,93,0.07506053268765134
Concept-12 PEPS topk=1 tau=0.1,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,70,0.05649717514124294
Concept-12 PEPS topk=1 tau=0.1,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,156,0.2608695652173913
Concept-12 PEPS topk=1 tau=0.1,NonAdenocarcinoma,2,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,84,0.14046822742474915
Concept-12 PEPS topk=1 tau=0.1,NonAdenocarcinoma,3,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,83,0.13879598662207357
Concept-12 PEPS topk=1 tau=0.1,NonAdenocarcinoma,4,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,59,0.09866220735785954
Concept-12 PEPS topk=1 tau=0.1,NonAdenocarcinoma,5,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,39,0.06521739130434782
Concept-12 PEPS topk=3 tau=0.07,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,538,0.42971246006389774
Concept-12 PEPS topk=3 tau=0.07,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,464,0.3706070287539936
Concept-12 PEPS topk=3 tau=0.07,Adenocarcinoma,3,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,100,0.07987220447284345
Concept-12 PEPS topk=3 tau=0.07,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,40,0.03194888178913738
Concept-12 PEPS topk=3 tau=0.07,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with acinar gland-forming architecture.,acinar growth pattern,26,0.020766773162939296
Concept-12 PEPS topk=3 tau=0.07,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,234,0.375
Concept-12 PEPS topk=3 tau=0.07,NonAdenocarcinoma,2,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,110,0.1762820512820513
Concept-12 PEPS topk=3 tau=0.07,NonAdenocarcinoma,3,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,60,0.09615384615384616
Concept-12 PEPS topk=3 tau=0.07,NonAdenocarcinoma,4,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,56,0.08974358974358974
Concept-12 PEPS topk=3 tau=0.07,NonAdenocarcinoma,5,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,46,0.07371794871794872
Concept-12 PEPS topk=3 tau=0.1,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,388,0.3296516567544605
Concept-12 PEPS topk=3 tau=0.1,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,277,0.23534409515717927
Concept-12 PEPS topk=3 tau=0.1,Adenocarcinoma,3,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,220,0.18691588785046728
Concept-12 PEPS topk=3 tau=0.1,Adenocarcinoma,4,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,110,0.09345794392523364
