slide_id,fold,split,label,pred,correct,scale,class_id,class_name,class_type,concept_rank,concept_idx,concept_id,concept_text,prompt_text,evidence,weight,contribution,support_region_idx,support_region_score,support_region_x,support_region_y
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,pred,1,5,adeno_mucinous,mucinous features,A low magnification histopathology image showing mucinous lung adenocarcinoma with extracellular mucin pools.,0.04449857026338577,0.10861475765705109,0.004833201412111521,0,0.04449857026338577,64135.67578125,43988.6015625
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,pred,2,11,adeno_alveolar_replacement_low,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.,0.028444910421967506,0.09201516211032867,0.0026173631194978952,0,0.028444910421967506,64135.67578125,43988.6015625
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,pred,3,9,adeno_multifocal_glandular_low,multifocal irregular glandular proliferation,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,0.023750126361846924,0.08821934461593628,0.002095220610499382,0,0.023750126361846924,64135.67578125,43988.6015625
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,pred,4,0,adeno_lepidic,lepidic growth pattern,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,0.022053230553865433,0.08620600402355194,0.0019011208787560463,0,0.022053230553865433,64135.67578125,43988.6015625
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,pred,5,10,adeno_cribriform_low,cribriform glandular pattern,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,0.017568711191415787,0.08354246616363525,0.0014677334111183882,0,0.017568711191415787,64135.67578125,43988.6015625
2460239-B2,0,test,0,0,True,high,0,Adenocarcinoma,pred,1,2,adeno_papillary_high,tumor cells lining fibrovascular cores,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,0.21337302029132843,0.10227534174919128,0.021822798997163773,0,0.21337302029132843,109578.859375,42590.80078125
2460239-B2,0,test,0,0,True,high,0,Adenocarcinoma,pred,2,9,adeno_atypical_glands_high,atypical gland-forming tumor cells,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,0.21305346488952637,0.10134528577327728,0.02159196510910988,0,0.21305346488952637,109578.859375,42590.80078125
2460239-B2,0,test,0,0,True,high,0,Adenocarcinoma,pred,3,10,adeno_fused_glands_high,fused back-to-back glands,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,0.20824266970157623,0.09715311229228973,0.020231423899531364,0,0.20824266970157623,109578.859375,42590.80078125
2460239-B2,0,test,0,0,True,high,0,Adenocarcinoma,pred,4,3,adeno_micropapillary_high,floating micropapillary clusters,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,0.20111089944839478,0.09040931612253189,0.01818229816854,0,0.20111089944839478,109578.859375,42590.80078125
2460239-B2,0,test,0,0,True,high,0,Adenocarcinoma,pred,5,8,adeno_hobnail_high,hobnail adenocarcinoma cells,A high magnification histopathology image showing hobnail-like adenocarcinoma cells lining alveolar spaces.,0.19608983397483826,0.08634328842163086,0.016931040212512016,0,0.19608983397483826,109578.859375,42590.80078125
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,true,1,5,adeno_mucinous,mucinous features,A low magnification histopathology image showing mucinous lung adenocarcinoma with extracellular mucin pools.,0.04449857026338577,0.10861475765705109,0.004833201412111521,0,0.04449857026338577,64135.67578125,43988.6015625
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,true,2,11,adeno_alveolar_replacement_low,alveolar replacement by atypical glands,A low magnification histopathology image showing atypical adenocarcinoma glands replacing pre-existing alveolar structures.,0.028444910421967506,0.09201516211032867,0.0026173631194978952,0,0.028444910421967506,64135.67578125,43988.6015625
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,true,3,9,adeno_multifocal_glandular_low,multifocal irregular glandular proliferation,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,0.023750126361846924,0.08821934461593628,0.002095220610499382,0,0.023750126361846924,64135.67578125,43988.6015625
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,true,4,0,adeno_lepidic,lepidic growth pattern,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,0.022053230553865433,0.08620600402355194,0.0019011208787560463,0,0.022053230553865433,64135.67578125,43988.6015625
2460239-B2,0,test,0,0,True,low,0,Adenocarcinoma,true,5,10,adeno_cribriform_low,cribriform glandular pattern,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,0.017568711191415787,0.08354246616363525,0.0014677334111183882,0,0.017568711191415787,64135.67578125,43988.6015625
