edge_type,source_node_id,target_node_id,scale,class_id,class_name,concept_id,concept_text,edge_strength,mean_evidence_score,slide_coverage,low_concept_id,low_concept_text,high_concept_id,high_concept_text,co_occurrence_count,co_occurrence_rate,mean_joint_evidence,correct_count,incorrect_count,dominant_conflict_type,high_scale_override_rate,wrong_class_drift_rate,example_slides,conflict_type,count,incorrect_rate,main_true_label,main_pred_label
concept_to_class,high_concept::adeno_papillary_high,class::0,high,0.0,Adenocarcinoma,adeno_papillary_high,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,0.0860126939395235,0.1596111846300437,1.0,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_atypical_glands_high,class::0,high,0.0,Adenocarcinoma,adeno_atypical_glands_high,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,0.0621039080006062,0.218050549722324,0.6082474226804123,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_micropapillary_high,class::0,high,0.0,Adenocarcinoma,adeno_micropapillary_high,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,0.0475822010413681,0.2146600834821583,0.6597938144329897,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_fused_glands_high,class::0,high,0.0,Adenocarcinoma,adeno_fused_glands_high,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,0.0387275098146957,0.194870591193149,0.7319587628865979,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_hobnail_high,class::0,high,0.0,Adenocarcinoma,adeno_hobnail_high,A high magnification histopathology image showing hobnail-like adenocarcinoma cells lining alveolar spaces.,0.0258716523988496,0.1286885038831494,0.7319587628865979,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_prominent_nucleoli_high,class::0,high,0.0,Adenocarcinoma,adeno_prominent_nucleoli_high,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,0.007173790956944,0.0607810419119362,0.3608247422680412,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_acinar_high,class::0,high,0.0,Adenocarcinoma,adeno_acinar_high,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,0.0069939940397856,0.0481563613161836,0.3917525773195876,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_mucinous_high,class::0,high,0.0,Adenocarcinoma,adeno_mucinous_high,A high magnification histopathology image showing adenocarcinoma cells with mucin production and mucinous cytoplasm.,0.0065499381493769,0.1659674123727849,0.1804123711340206,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_solid_high,class::0,high,0.0,Adenocarcinoma,adeno_solid_high,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,0.001900141836076,0.0611850884225633,0.1391752577319587,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_lepidic_high,class::0,high,0.0,Adenocarcinoma,adeno_lepidic_high,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,0.0004731334869827,0.0298718006278459,0.0670103092783505,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_columnar_cells_high,class::0,high,0.0,Adenocarcinoma,adeno_columnar_cells_high,A high magnification histopathology image showing columnar adenocarcinoma cells with enlarged hyperchromatic nuclei and nucleoli.,-0.0004715041816932,-0.0616034647183758,0.0360824742268041,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::adeno_intracytoplasmic_mucin_high,class::0,high,0.0,Adenocarcinoma,adeno_intracytoplasmic_mucin_high,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,-0.0010829815953032,-0.0577122229151427,0.0927835051546391,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::nonadeno_intercellular_bridges_high,class::1,high,1.0,NonAdenocarcinoma,nonadeno_intercellular_bridges_high,A high magnification histopathology image showing squamous cell carcinoma with intercellular bridges.,0.107473784487641,0.2270049829035997,0.6701030927835051,,,,,,,,,,,,,,,,,,
concept_to_class,high_concept::nonadeno_keratinization_high,class::1,high,1.0,NonAdenocarcinoma,nonadeno_keratinization_high,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,0.0537231230181394,0.2114906312852371,0.634020618556701,,,,,,,,,,,,,,,,,,
