low_concept_id,low_concept_text,high_concept_id,high_concept_text,source_node_id,target_node_id,co_occurrence_count,co_occurrence_rate,mean_joint_evidence,correct_count,incorrect_count,dominant_conflict_type,high_scale_override_rate,wrong_class_drift_rate,example_slides
nonadeno_hamartoma_low,A low magnification histopathology image showing pulmonary hamartoma with cartilage and benign mesenchymal components.,adeno_papillary_high,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,low_concept::nonadeno_hamartoma_low,high_concept::adeno_papillary_high,98,0.5051546391752577,0.0018358013535079265,93,5,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
nonadeno_hamartoma_low,A low magnification histopathology image showing pulmonary hamartoma with cartilage and benign mesenchymal components.,adeno_atypical_glands_high,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,low_concept::nonadeno_hamartoma_low,high_concept::adeno_atypical_glands_high,97,0.5,0.0015619859108268117,93,4,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
nonadeno_hamartoma_low,A low magnification histopathology image showing pulmonary hamartoma with cartilage and benign mesenchymal components.,adeno_fused_glands_high,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,low_concept::nonadeno_hamartoma_low,high_concept::adeno_fused_glands_high,97,0.5,0.0012017486480058242,93,4,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
nonadeno_hamartoma_low,A low magnification histopathology image showing pulmonary hamartoma with cartilage and benign mesenchymal components.,adeno_micropapillary_high,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,low_concept::nonadeno_hamartoma_low,high_concept::adeno_micropapillary_high,96,0.4948453608247423,0.0012931348068694005,92,4,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
nonadeno_fibroinflammatory_low,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,adeno_papillary_high,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,low_concept::nonadeno_fibroinflammatory_low,high_concept::adeno_papillary_high,96,0.4948453608247423,0.0007630594281916045,91,5,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
nonadeno_fibroinflammatory_low,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,adeno_atypical_glands_high,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,low_concept::nonadeno_fibroinflammatory_low,high_concept::adeno_atypical_glands_high,95,0.4896907216494845,0.0004917950437595477,91,4,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
nonadeno_fibroinflammatory_low,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,adeno_fused_glands_high,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,low_concept::nonadeno_fibroinflammatory_low,high_concept::adeno_fused_glands_high,95,0.4896907216494845,0.00013058490195974265,91,4,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
nonadeno_fibroinflammatory_low,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,adeno_micropapillary_high,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,low_concept::nonadeno_fibroinflammatory_low,high_concept::adeno_micropapillary_high,94,0.4845360824742268,0.00022559519740004546,90,4,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
nonadeno_solid_nests_low,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,adeno_papillary_high,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,low_concept::nonadeno_solid_nests_low,high_concept::adeno_papillary_high,85,0.4381443298969072,0.0007555756598974683,83,2,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
nonadeno_solid_nests_low,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,adeno_atypical_glands_high,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,low_concept::nonadeno_solid_nests_low,high_concept::adeno_atypical_glands_high,85,0.4381443298969072,0.0005025550320308478,83,2,high_scale_dominant_correct,1.0,0.0,"[""2460239-B2"", ""2460628-B2"", ""2460641-B2"", ""2460960-B"", ""2461671-B2"", ""2461677-B2"", ""2462598-B"", ""2462637-B2"", ""2463647-B2"", ""2463656-B2"", ""2464548-B"", ""2465243-B2""]"
