flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,2,2465827-B5,2465827-B5,0,1,0,1,0,False,True,False,True,-0.16484665870666504,0.6912045478820801,-0.8517391085624695,0.003281327895820141,0.18874330818653107,0.8112567067146301,0.0001922245864989236
concept_only_correct_full_wrong,2,2469260-B3,2469260-B3,0,1,0,1,0,False,True,False,True,-0.43906641006469727,0.17889714241027832,-0.6136510968208313,0.0026842844672501087,0.1355239897966385,0.8644760251045227,0.0004863630747422576
concept_only_correct_full_wrong,2,25024695B2,25024695B2,1,0,1,0,1,False,True,False,True,-0.0384136438369751,0.06168317794799805,-0.1044096052646637,-0.004945743829011917,0.26665133237838745,0.7333486676216125,0.0005334668094292283
concept_only_correct_full_wrong,2,25028010B2a,25028010B2a,1,0,1,0,1,False,True,False,True,-0.48880863189697266,0.11839461326599121,-0.6115160584449768,-0.008837422356009483,0.34168359637260437,0.658316433429718,0.0004461384960450232
concept_only_correct_full_wrong,2,25045625B2,25045625B2,1,0,1,0,1,False,True,False,True,-0.5348963737487793,0.16181612014770508,-0.7010256052017212,0.003207914996892214,0.03490261361002922,0.9650973677635193,0.00011580817226786166
visual_only_correct_concept_wrong,2,25026294B3,25026294B3,1,1,0,1,0,True,False,True,False,1.5488436222076416,-0.34189510345458984,1.8864257335662842,-0.002944245468825102,0.3279872238636017,0.6720127463340759,0.0003863034653477371
visual_only_correct_concept_wrong,2,25042220B2,25042220B2,1,1,0,1,0,True,False,True,False,1.1976447105407715,-0.07422780990600586,1.2675600051879883,-0.0007316364208236337,0.15941384434700012,0.8405861854553223,0.0005838091019541025
concept_only_wrong_full_correct,2,25026294B3,25026294B3,1,1,0,1,0,True,False,True,False,1.5488436222076416,-0.34189510345458984,1.8864257335662842,-0.002944245468825102,0.3279872238636017,0.6720127463340759,0.0003863034653477371
concept_only_wrong_full_correct,2,25042220B2,25042220B2,1,1,0,1,0,True,False,True,False,1.1976447105407715,-0.07422780990600586,1.2675600051879883,-0.0007316364208236337,0.15941384434700012,0.8405861854553223,0.0005838091019541025
full_without_visual_correct_full_wrong,2,2465827-B5,2465827-B5,0,1,0,1,0,False,True,False,True,-0.16484665870666504,0.6912045478820801,-0.8517391085624695,0.003281327895820141,0.18874330818653107,0.8112567067146301,0.0001922245864989236
full_without_visual_correct_full_wrong,2,2469260-B3,2469260-B3,0,1,0,1,0,False,True,False,True,-0.43906641006469727,0.17889714241027832,-0.6136510968208313,0.0026842844672501087,0.1355239897966385,0.8644760251045227,0.0004863630747422576
full_without_visual_correct_full_wrong,2,25024695B2,25024695B2,1,0,1,0,1,False,True,False,True,-0.0384136438369751,0.06168317794799805,-0.1044096052646637,-0.004945743829011917,0.26665133237838745,0.7333486676216125,0.0005334668094292283
full_without_visual_correct_full_wrong,2,25028010B2a,25028010B2a,1,0,1,0,1,False,True,False,True,-0.48880863189697266,0.11839461326599121,-0.6115160584449768,-0.008837422356009483,0.34168359637260437,0.658316433429718,0.0004461384960450232
full_without_visual_correct_full_wrong,2,25045625B2,25045625B2,1,0,1,0,1,False,True,False,True,-0.5348963737487793,0.16181612014770508,-0.7010256052017212,0.003207914996892214,0.03490261361002922,0.9650973677635193,0.00011580817226786166
full_correct_full_without_visual_wrong,2,25026294B3,25026294B3,1,1,0,1,0,True,False,True,False,1.5488436222076416,-0.34189510345458984,1.8864257335662842,-0.002944245468825102,0.3279872238636017,0.6720127463340759,0.0003863034653477371
full_correct_full_without_visual_wrong,2,25042220B2,25042220B2,1,1,0,1,0,True,False,True,False,1.1976447105407715,-0.07422780990600586,1.2675600051879883,-0.0007316364208236337,0.15941384434700012,0.8405861854553223,0.0005838091019541025
