flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,3,2468105-B2,2468105-B2,0,1,0,1,0,False,True,False,True,-0.21887004375457764,1.308293342590332,-1.5289409160614014,-0.003915838431566954,0.3694879710674286,0.6305120587348938,2.733795736276079e-05
visual_only_correct_concept_wrong,3,25019339B2,25019339B2,1,0,0,1,0,False,False,True,False,-0.9568805694580078,-1.8118159770965576,0.8567123413085938,0.0009638036135584116,0.0470304973423481,0.952969491481781,0.00032724346965551376
visual_only_correct_concept_wrong,3,25021922B2,25021922B2,1,0,0,1,0,False,False,True,False,-0.3538806438446045,-0.5827915668487549,0.23068872094154358,0.0041456022299826145,0.07595834136009216,0.9240416884422302,0.0005102789727970958
visual_only_correct_concept_wrong,3,25029134B,25029134B,1,1,0,1,0,True,False,True,False,0.5877299308776855,-0.5646541118621826,1.1541614532470703,0.00878235511481762,0.11989598721265793,0.8801040053367615,0.00021151192777324468
visual_only_correct_concept_wrong,3,25031281B2,25031281B2,1,0,0,1,0,False,False,True,False,-0.6783584356307983,-0.8434309959411621,0.16685013473033905,0.006303227972239256,0.06473833322525024,0.935261607170105,0.002204502234235406
visual_only_correct_concept_wrong,3,25050984B2,25050984B2,1,1,0,1,0,True,False,True,False,0.01365041732788086,-1.7899819612503052,1.8054100275039673,0.006110593676567078,0.7285893559455872,0.27141067385673523,0.0002237990847788751
concept_only_wrong_full_correct,3,25029134B,25029134B,1,1,0,1,0,True,False,True,False,0.5877299308776855,-0.5646541118621826,1.1541614532470703,0.00878235511481762,0.11989598721265793,0.8801040053367615,0.00021151192777324468
concept_only_wrong_full_correct,3,25050984B2,25050984B2,1,1,0,1,0,True,False,True,False,0.01365041732788086,-1.7899819612503052,1.8054100275039673,0.006110593676567078,0.7285893559455872,0.27141067385673523,0.0002237990847788751
full_without_visual_correct_full_wrong,3,2468105-B2,2468105-B2,0,1,0,1,0,False,True,False,True,-0.21887004375457764,1.308293342590332,-1.5289409160614014,-0.003915838431566954,0.3694879710674286,0.6305120587348938,2.733795736276079e-05
full_correct_full_without_visual_wrong,3,25029134B,25029134B,1,1,0,1,0,True,False,True,False,0.5877299308776855,-0.5646541118621826,1.1541614532470703,0.00878235511481762,0.11989598721265793,0.8801040053367615,0.00021151192777324468
full_correct_full_without_visual_wrong,3,25050984B2,25050984B2,1,1,0,1,0,True,False,True,False,0.01365041732788086,-1.7899819612503052,1.8054100275039673,0.006110593676567078,0.7285893559455872,0.27141067385673523,0.0002237990847788751
